page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
   6   174 image     134    17  icc     3   8  jpeg   no       434  0   150   148 1071B  16%
   6   175 smask     134    17  gray    1   8  image  no       434  0   150   148  510B  22%
   6   176 image     134    17  icc     3   8  jpeg   no       434  0   150   148 1071B  16%
   6   177 smask     134    17  gray    1   8  image  no       434  0   150   148  510B  22%
   6   178 image     134    17  icc     3   8  jpeg   no       434  0   150   148 1071B  16%
   6   179 smask     134    17  gray    1   8  image  no       434  0   150   148  510B  22%
   6   180 image     134    17  icc     3   8  image  no       539  0   150   148 1085B  16%
   6   181 smask     134    17  gray    1   8  image  no       539  0   150   148  510B  22%
   6   182 image     887   887  icc     3   8  jpeg   no       571  0   207   207 10.5K 0.5%
   6   183 smask     887   887  gray    1   8  jpeg   no       571  0   207   207 8656B 1.1%
   6   184 image     360   480  icc     3   8  jpeg   no       577  0   144   144 5835B 1.1%
   6   185 smask     360   480  gray    1   8  jpeg   no       577  0   144   144 2727B 1.6%
   6   186 image     360   480  icc     3   8  jpeg   no       577  0   144   144 5835B 1.1%
   6   187 smask     360   480  gray    1   8  jpeg   no       577  0   144   144 2727B 1.6%
   6   188 image     462   617  icc     3   8  jpeg   no       583  0   150   150 6104B 0.7%
   6   189 smask     462   617  gray    1   8  jpeg   no       583  0   150   150 3360B 1.2%
   6   190 image     462   617  icc     3   8  jpeg   no       583  0   150   150 6104B 0.7%
   6   191 smask     462   617  gray    1   8  jpeg   no       583  0   150   150 3360B 1.2%
   6   192 image     475   634  icc     3   8  jpeg   no       519  0   150   150 6416B 0.7%
   6   193 smask     475   634  gray    1   8  jpeg   no       519  0   150   150 3189B 1.1%
   6   194 image     475   634  icc     3   8  jpeg   no       519  0   150   150 6416B 0.7%
   6   195 smask     475   634  gray    1   8  jpeg   no       519  0   150   150 3189B 1.1%
   6   196 image     433   577  icc     3   8  jpeg   no       589  0   150   150 6670B 0.9%
   6   197 smask     433   577  gray    1   8  jpeg   no       589  0   150   150 3473B 1.4%
   6   198 image     433   577  icc     3   8  jpeg   no       589  0   162   162 6670B 0.9%
   6   199 smask     433   577  gray    1   8  jpeg   no       589  0   162   162 3473B 1.4%
   7   200 image      53    53  icc     3   8  jpeg   no       440  0   150   150  965B  11%
   7   201 smask      72    72  gray    1   8  image  no       440  0   203   203  602B  12%
   7   202 image      53    53  icc     3   8  jpeg   no       443  0   150   150 1028B  12%
   7   203 smask      72    72  gray    1   8  image  no       443  0   203   203  602B  12%
   7   204 image      53    53  icc     3   8  jpeg   no       446  0   150   150 1004B  12%
   7   205 smask      72    72  gray    1   8  image  no       446  0   203   203  602B  12%
   7   206 image      53    53  icc     3   8  jpeg   no       449  0   150   150 1007B  12%
   7   207 smask      72    72  gray    1   8  image  no       449  0   203   203  602B  12%
   7   208 image      72    72  icc     3   8  jpeg   no       452  0   203   203 1362B 8.8%
   7   209 smask      72    72  gray    1   8  image  no       452  0   203   203  602B  12%
   7   210 image    1670  1173  icc     3   8  jpeg   no       596  0   150   150 23.1K 0.4%
   7   211 smask    1670  1173  gray    1   8  jpeg   no       596  0   150   150 21.1K 1.1%
   7   212 image    1166   303  icc     3   8  jpeg   no       428  0   150   150 2730B 0.3%
