Extracting raw images from cat-alfa.pdf...

Total images found: 989

Detailed list:
page26_img12.jpg: 52x52
page26_img13.jpg: 52x52
page26_img14.jpg: 67x67
page26_img15.jpg: 1320x1020
page26_img16.jpg: 887x887
page27_img1.jpg: 1038x801
page27_img2.jpg: 1456x94
page27_img3.jpg: 411x411
page27_img4.jpg: 862x377
page27_img5.jpg: 1650x1248
page28_img1.jpg: 1167x306
page28_img2.jpg: 53x53
page28_img3.jpg: 53x53
page28_img4.jpg: 1670x1173
page28_img5.jpg: 1485x1148
page28_img6.jpg: 64x64
page28_img7.jpg: 64x64
page28_img8.jpg: 55x55
page29_img1.jpg: 1167x306
page29_img2.jpg: 53x53
page29_img3.jpg: 53x53
page29_img4.jpg: 55x55
page29_img5.jpg: 1670x1173
page29_img6.jpg: 241x226
page29_img7.jpg: 1155x893
page30_img1.jpg: 1320x1018
page30_img2.jpg: 1456x94
page30_img3.jpg: 411x411
page30_img4.jpg: 587x352
page30_img5.jpg: 1650x1248
page31_img1.jpg: 1353x355
page31_img2.jpg: 53x53
page31_img3.jpg: 53x53
page31_img4.jpg: 55x55
page31_img5.jpg: 1670x1173
page31_img6.jpg: 1155x893
page31_img7.jpg: 1320x1020
page31_img8.jpg: 1155x893
page31_img9.jpg: 1155x893
page31_img10.jpg: 275x196
page32_img1.jpg: 1350x355
page32_img2.jpg: 53x53
page32_img3.jpg: 53x53
page32_img4.jpg: 1670x1173
page32_img5.jpg: 55x55
page32_img6.jpg: 677x203
page32_img7.jpg: 887x887
page33_img1.jpg: 1238x956
page33_img2.jpg: 1456x94
page33_img3.jpg: 411x411
page33_img4.jpg: 1033x514
page33_img5.jpg: 1650x1248
page34_img1.jpg: 1520x398
page34_img2.jpg: 53x53
page34_img3.jpg: 53x53
page34_img4.jpg: 1670x1173
page34_img5.jpg: 1060x625
page34_img6.jpg: 887x887
page35_img1.jpg: 1309x1011
page35_img2.jpg: 1456x94
page35_img3.jpg: 411x411
page35_img4.jpg: 1197x377
page35_img5.jpg: 1650x1248
page36_img1.jpg: 1167x306
page36_img2.jpg: 53x53
page36_img3.jpg: 53x53
page36_img4.jpg: 53x53
page36_img5.jpg: 72x72
page36_img6.jpg: 1670x1173
page36_img7.jpg: 1650x1275
page36_img8.jpg: 1650x1275
page36_img9.jpg: 1485x1148
page36_img10.jpg: 240x198
page36_img11.jpg: 64x64
page36_img12.jpg: 64x64
page36_img13.jpg: 55x55
page37_img1.jpg: 1167x306
page37_img2.jpg: 53x53
page37_img3.jpg: 53x53
page37_img4.jpg: 53x53
page37_img5.jpg: 72x72
page37_img6.jpg: 1670x1173
page37_img7.jpg: 1040x804
page37_img8.jpg: 64x64
page37_img9.jpg: 64x64
page37_img10.jpg: 55x55
page37_img11.jpg: 336x336
page37_img12.jpg: 336x336
page37_img13.jpg: 887x887
page37_img14.jpg: 288x288
page38_img1.jpg: 951x734
page38_img2.jpg: 1456x94
page38_img3.jpg: 411x411
page38_img4.jpg: 978x216
page38_img5.jpg: 1650x1248
page39_img1.jpg: 1167x306
page39_img2.jpg: 53x53
page39_img3.jpg: 53x53
page39_img4.jpg: 72x72
page39_img5.jpg: 1670x1173
page39_img6.jpg: 1356x813
page40_img1.jpg: 1167x306
page40_img2.jpg: 53x53
